DATE,sp500,daily_return
11/5/2014,2023.57,0.005700512
11/6/2014,2031.21,0.003775506
11/7/2014,2031.92,0.000349545
11/10/2014,2038.26,0.003120202
11/11/2014,2039.68,0.000696673
11/12/2014,2038.25,-0.00070109
11/13/2014,2039.33,0.000529866
11/14/2014,2039.82,0.000240275
11/17/2014,2041.32,0.000735359
11/18/2014,2051.8,0.005133933
11/19/2014,2048.72,-0.001501121
11/20/2014,2052.75,0.001967082
11/21/2014,2063.5,0.005236877
11/24/2014,2069.41,0.002864066
11/25/2014,2067.03,-0.001150086
11/26/2014,2072.83,0.002805958
12/1/2014,2053.44,-0.006829306
12/2/2014,2066.55,0.006384409
12/3/2014,2074.33,0.003764729
12/4/2014,2071.92,-0.001161821
12/5/2014,2075.37,0.001665122
12/8/2014,2060.31,-0.007256537
12/9/2014,2059.82,-0.000237828
12/10/2014,2026.14,-0.016350943
12/11/2014,2035.33,0.004535718
12/12/2014,2002.33,-0.016213587
12/15/2014,1989.63,-0.006342611
12/16/2014,1972.74,-0.008489016
12/17/2014,2012.89,0.020352403
12/18/2014,2061.23,0.024015222
12/19/2014,2070.65,0.004570087
12/22/2014,2078.54,0.003810398
12/23/2014,2082.17,0.001746418
12/24/2014,2081.88,-0.000139278
12/29/2014,2090.57,0.000861751
12/30/2014,2080.35,-0.004888619
12/31/2014,2058.9,-0.010310765
1/5/2015,2020.58,-0.018278107
1/6/2015,2002.61,-0.008893486
1/7/2015,2025.9,0.011629823
1/8/2015,2062.14,0.017888346
1/9/2015,2044.81,-0.008403891
1/12/2015,2028.26,-0.008093662
1/13/2015,2023.03,-0.002578565
1/14/2015,2011.27,-0.005813063
1/15/2015,1992.67,-0.009247888
1/16/2015,2019.42,0.0134242
1/21/2015,2032.12,0.004731651
1/22/2015,2063.15,0.015269768
1/23/2015,2051.82,-0.005491603
1/26/2015,2057.09,0.002568451
1/27/2015,2029.55,-0.013387844
1/28/2015,2002.16,-0.013495602
1/29/2015,2021.25,0.009534703
1/30/2015,1994.99,-0.01299196
2/2/2015,2020.85,0.012962471
2/3/2015,2050.03,0.014439469
2/4/2015,2041.51,-0.004156037
2/5/2015,2062.52,0.010291402
2/6/2015,2055.47,-0.003418149
2/9/2015,2046.74,-0.004247204
2/10/2015,2068.59,0.010675513
2/11/2015,2068.53,-2.90E-05
2/12/2015,2088.48,0.00964453
2/13/2015,2096.99,0.004074734
2/18/2015,2099.68,-0.000314235
2/19/2015,2097.45,-0.001062067
2/20/2015,2110.3,0.006126487
2/23/2015,2109.66,-0.000303274
2/24/2015,2115.48,0.002758738
2/25/2015,2113.86,-0.000765784
2/26/2015,2110.74,-0.001475973
2/27/2015,2104.5,-0.002956309
3/2/2015,2117.39,0.00612497
3/3/2015,2107.78,-0.004538606
3/4/2015,2098.53,-0.004388504
3/5/2015,2101.04,0.001196075
3/6/2015,2071.26,-0.014173933
3/9/2015,2079.43,0.003944459
3/10/2015,2044.16,-0.016961379
3/11/2015,2040.24,-0.001917658
3/12/2015,2065.95,0.012601459
3/13/2015,2053.4,-0.006074687
3/16/2015,2081.19,0.013533652
3/17/2015,2074.28,-0.003320216
3/18/2015,2099.5,0.012158436
3/19/2015,2089.27,-0.004872589
3/20/2015,2108.1,0.009012717
3/23/2015,2104.42,-0.001745648
3/24/2015,2091.5,-0.006139459
3/25/2015,2061.05,-0.014558929
3/26/2015,2056.15,-0.002377429
3/27/2015,2061.02,0.002368504
3/30/2015,2086.24,0.01223666
3/31/2015,2067.89,-0.008795728
4/1/2015,2059.69,-0.003965395
4/2/2015,2066.96,0.003529657
4/7/2015,2076.33,-0.002061885
4/8/2015,2081.9,0.002682618
4/9/2015,2091.18,0.004457467
4/10/2015,2102.06,0.005202804
4/13/2015,2092.43,-0.00458122
4/14/2015,2095.84,0.001629684
4/15/2015,2106.63,0.005148294
4/16/2015,2104.99,-0.000778495
4/17/2015,2081.18,-0.011311218
4/20/2015,2100.4,0.009235145
4/21/2015,2097.29,-0.00148067
4/22/2015,2107.96,0.005087518
4/23/2015,2112.93,0.00235773
4/24/2015,2117.69,0.002252796
4/27/2015,2108.92,-0.004141305
4/28/2015,2114.76,0.00276919
4/29/2015,2106.85,-0.003740377
4/30/2015,2085.51,-0.010128865
5/1/2015,2108.29,0.010922988
